method,backbone,dataset,noise_name,ece_type,n_runs,ece_mean,ece_std,ece_mean_percent,ece_std_pp
Ours,vit_b16_imagenet,cifar10,pairflip_0.3,Raw,3,0.0644403445924321,0.0006374142815047016,6.44403445924321,0.06374142815047015
Ours,vit_b16_imagenet,cifar10,pairflip_0.3,Calibrated,3,0.02850058677395177,0.0006842411340103742,2.850058677395177,0.06842411340103742
Ours,vit_b16_imagenet,cifar10,symmetric_0.6,Raw,3,0.12247298538982866,0.0008693258912669651,12.247298538982866,0.0869325891266965
Ours,vit_b16_imagenet,cifar10,symmetric_0.6,Calibrated,3,0.03243635238011673,0.0004438182375030971,3.2436352380116733,0.04438182375030971
Ours,vit_b16_imagenet,cifar100,human_noisy_label,Raw,3,0.07646868248308693,0.0004246670575512334,7.646868248308693,0.04246670575512334
Ours,vit_b16_imagenet,cifar100,human_noisy_label,Calibrated,3,0.07954075872500734,0.0023010804598057456,7.9540758725007334,0.23010804598057455
Ours,vit_b16_imagenet,cifar100,instance_0.4,Raw,3,0.14626270920187234,0.0005161296794069526,14.626270920187235,0.05161296794069526
Ours,vit_b16_imagenet,cifar100,instance_0.4,Calibrated,3,0.028454638667652934,0.007948516587195713,2.8454638667652934,0.7948516587195713
Ours,vit_b16_imagenet,cifar100,pairflip_0.3,Raw,3,0.10474654938702777,0.0008042677229591387,10.474654938702777,0.08042677229591387
Ours,vit_b16_imagenet,cifar100,pairflip_0.3,Calibrated,3,0.03709710155303273,0.0067505709384828695,3.709710155303273,0.6750570938482869
Ours,vit_b16_imagenet,cifar100,symmetric_0.6,Raw,3,0.21957271983101964,0.0049724563095046,21.957271983101965,0.49724563095046
Ours,vit_b16_imagenet,cifar100,symmetric_0.6,Calibrated,3,0.03562794098307687,0.006870061405852843,3.5627940983076867,0.6870061405852843
Ours,vit_l16_imagenet,cifar10,human_worse_label,Raw,3,0.07856413191805277,0.0004081815775612574,7.856413191805276,0.04081815775612574
Ours,vit_l16_imagenet,cifar10,human_worse_label,Calibrated,3,0.027086930359899935,0.00035054685880035345,2.7086930359899934,0.035054685880035345
Ours,vit_l16_imagenet,cifar10,instance_0.4,Raw,3,0.07695551001230873,0.0006427246075403508,7.695551001230873,0.06427246075403509
Ours,vit_l16_imagenet,cifar10,instance_0.4,Calibrated,3,0.0212112782433629,0.0004214984089119065,2.12112782433629,0.04214984089119065
Ours,vit_l16_imagenet,cifar10,pairflip_0.3,Raw,3,0.05700318972220017,0.0010118001636603166,5.700318972220017,0.10118001636603166
Ours,vit_l16_imagenet,cifar10,pairflip_0.3,Calibrated,3,0.019595720715324033,0.000657146670007361,1.9595720715324032,0.0657146670007361
Ours,vit_l16_imagenet,cifar10,symmetric_0.6,Raw,3,0.1228336153532068,0.0002898792064028047,12.28336153532068,0.02898792064028047
Ours,vit_l16_imagenet,cifar10,symmetric_0.6,Calibrated,3,0.0243330256412426,0.0006288387488116807,2.43330256412426,0.06288387488116806
Ours,vit_l16_imagenet,cifar100,human_noisy_label,Raw,3,0.08747423175312576,0.0013178465344254125,8.747423175312576,0.13178465344254126
Ours,vit_l16_imagenet,cifar100,human_noisy_label,Calibrated,3,0.0285033728100359,0.0018095313144520586,2.85033728100359,0.18095313144520586
Ours,vit_l16_imagenet,cifar100,instance_0.4,Raw,3,0.14382969483633834,0.001667219022736727,14.382969483633834,0.1667219022736727
Ours,vit_l16_imagenet,cifar100,instance_0.4,Calibrated,3,0.012242984805256067,0.0014725807953046598,1.2242984805256067,0.147258079530466
Ours,vit_l16_imagenet,cifar100,pairflip_0.3,Raw,3,0.0995737371187657,0.002230208334854032,9.95737371187657,0.22302083348540322
Ours,vit_l16_imagenet,cifar100,pairflip_0.3,Calibrated,3,0.006852115241686466,0.001428675401688417,0.6852115241686466,0.1428675401688417
Ours,vit_l16_imagenet,cifar100,symmetric_0.6,Raw,3,0.23319309597089885,0.005153056074345548,23.319309597089884,0.5153056074345549
Ours,vit_l16_imagenet,cifar100,symmetric_0.6,Calibrated,3,0.010163118619968433,0.0023374011582239632,1.0163118619968432,0.23374011582239632
