method,backbone,dataset,noise_name,seed,ece_type,ece,source_file
Ours,dinov2_vit_b14,cifar100,symmetric_0.6,3,Raw,0.1671114546991885,stage2/dinov2_vit_b14/cifar100/runs.csv
Ours,dinov2_vit_b14,cifar100,symmetric_0.6,1,Calibrated,0.0210126161377877,stage2/dinov2_vit_b14/cifar100/runs.csv
Ours,dinov2_vit_b14,cifar100,symmetric_0.6,2,Calibrated,0.0190322223342955,stage2/dinov2_vit_b14/cifar100/runs.csv
Ours,dinov2_vit_b14,cifar100,symmetric_0.6,3,Calibrated,0.0225242893755436,stage2/dinov2_vit_b14/cifar100/runs.csv
Ours,vit_b16_imagenet,cifar10,human_worse_label,1,Raw,0.0751334623292088,stage2/vit_b16_imagenet/cifar10/runs.csv
Ours,vit_b16_imagenet,cifar10,human_worse_label,2,Raw,0.0751151992902159,stage2/vit_b16_imagenet/cifar10/runs.csv
Ours,vit_b16_imagenet,cifar10,human_worse_label,3,Raw,0.0749366270348429,stage2/vit_b16_imagenet/cifar10/runs.csv
Ours,vit_b16_imagenet,cifar10,human_worse_label,1,Calibrated,0.0318254361137747,stage2/vit_b16_imagenet/cifar10/runs.csv
Ours,vit_b16_imagenet,cifar10,human_worse_label,2,Calibrated,0.0321203677430749,stage2/vit_b16_imagenet/cifar10/runs.csv
Ours,vit_b16_imagenet,cifar10,human_worse_label,3,Calibrated,0.0317614875286817,stage2/vit_b16_imagenet/cifar10/runs.csv
Ours,vit_b16_imagenet,cifar10,instance_0.4,1,Raw,0.0796051581606268,stage2/vit_b16_imagenet/cifar10/runs.csv
Ours,vit_b16_imagenet,cifar10,instance_0.4,2,Raw,0.0807052620857954,stage2/vit_b16_imagenet/cifar10/runs.csv
Ours,vit_b16_imagenet,cifar10,instance_0.4,3,Raw,0.0814830405816435,stage2/vit_b16_imagenet/cifar10/runs.csv
Ours,vit_b16_imagenet,cifar10,instance_0.4,1,Calibrated,0.028142959818244,stage2/vit_b16_imagenet/cifar10/runs.csv
Ours,vit_b16_imagenet,cifar10,instance_0.4,2,Calibrated,0.0265444252088665,stage2/vit_b16_imagenet/cifar10/runs.csv
Ours,vit_b16_imagenet,cifar10,instance_0.4,3,Calibrated,0.0278600422278046,stage2/vit_b16_imagenet/cifar10/runs.csv
Ours,vit_b16_imagenet,cifar10,pairflip_0.3,1,Raw,0.0637255855888127,stage2/vit_b16_imagenet/cifar10/runs.csv
Ours,vit_b16_imagenet,cifar10,pairflip_0.3,2,Raw,0.0646456167593598,stage2/vit_b16_imagenet/cifar10/runs.csv
Ours,vit_b16_imagenet,cifar10,pairflip_0.3,3,Raw,0.0649498314291238,stage2/vit_b16_imagenet/cifar10/runs.csv
